422,493,42,42
464,450,42,42
506,409,126,42
633,409,675,20
1307,409,42,126
1347,409,675,20
1980,409,42,126
2022,409,675,20
2652,409,42,126
2864,409,42,126
2886,409,440,20
3328,409,42,126
3537,409,42,126
3579,409,420,20
4001,409,42,126
4170,367,42,148
4210,367,212,20
4423,367,42,148
5136,409,128,20
5348,409,42,126
5390,409,675,20
6024,409,42,126
6149,493,42,86
6190,493,338,20
6526,493,42,86
6695,409,42,126
6737,409,335,20
7073,409,42,126
7200,409,85,20
7369,409,85,20
7537,409,85,20
7706,409,42,126
7748,409,378,20
8128,409,84,42
8212,451,42,42
8254,493,42,42
8759,493,42,42
8801,409,42,42
8843,367,42,42
8885,325,42,42
8927,283,42,42
8969,241,42,42
