651,379,42,42,0,0,0
735,379,42,42,0,0,0
1230,379,42,42,0,0,1
1272,219,42,42,0,0,0
1314,219,42,42,0,0,1
1356,219,42,42,0,0,1
7929,379,42,42,0,0,1
7971,379,42,42,0,0,1
7971,219,42,42,0,0,1
2910,379,42,42,0,0,0
2952,219,42,42,0,0,1
2994,219,42,42,0,0,0
3036,219,42,42,0,0,0
3078,219,42,42,0,0,0
3120,219,42,42,0,0,0
3469,219,42,42,0,0,0
3511,219,42,42,0,0,0
3553,219,42,42,0,0,0
3595,219,42,42,0,0,0
3975,219,42,42,0,0,0
4017,219,42,42,0,0,0
4059,219,42,42,0,0,0
4101,219,42,42,0,0,0
5425,219,42,42,0,0,0
5467,219,42,42,0,0,0
5509,219,42,42,0,0,0
6877,379,42,42,0,0,10
7089,219,42,42,0,0,0
7131,219,42,42,0,0,0
7173,219,42,42,0,0,0
7215,219,42,42,0,0,0
7257,219,42,42,0,0,0
